@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute outputs-1 numeric

@data
3805,'2019/02/12 12:39:54:530',6,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,0.218796,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,1.500331,0
3806,'2019/02/12 12:39:54:541',6,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,0.218796,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,1.500331,0
3807,'2019/02/12 12:39:54:553',6,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,0.218796,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,1.500331,0
3808,'2019/02/12 12:39:54:563',6,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,0.218796,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,1.500331,0
3809,'2019/02/12 12:39:54:575',6,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,0.218796,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,1.500331,0
3810,'2019/02/12 12:39:54:587',6,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,0.218796,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,1.500331,0
3811,'2019/02/12 12:39:54:597',6,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,0.218796,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,1.500331,0
3812,'2019/02/12 12:39:54:608',6,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,0.218796,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,1.500331,0
3813,'2019/02/12 12:39:54:620',6,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,0.218796,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,1.500331,0
3814,'2019/02/12 12:39:54:630',6,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,0.218796,9.901733,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,1.500331,4.308764,0
